"Day","ID_experiment","Sequence","Sequence_order","N","P","se","sd","q_2.5","q_97.5","q_25","q_75","C","C_median"
"14/06/2019",6,5,"5_3_1_4_2",0.025,0.106,0.022744754119943,0.0880900539201218,0,0.282786128822381,0.0709278185704995,0.197878334417696,0.134803131272119,0.134803131272119
"14/06/2019",7,3,"5_3_1_4_2",0.05,0.106,0.0348380978740253,0.134927372879644,0,0.417632028194263,0.0930008691873095,0.296440270534551,0.20206552487061,0.20206552487061
"14/06/2019",8,1,"5_3_1_4_2",0.076,0.106,0.0309630035951589,0.119919197272611,0.0530621187309927,0.463914523762394,0.217302010041209,0.338586852854907,0.282391542351227,0.282391542351227
"14/06/2019",9,4,"5_3_1_4_2",0.101,0.106,0.105419738232179,0.408288890534773,0.110973404419177,1.3621985392454,0.188654787512601,0.4855086443339,0.459967947165304,0.459967947165304
"14/06/2019",10,2,"5_3_1_4_2",0.126,0.106,0.0420749609137768,0.162955622911386,0.149939074234028,0.667094204526245,0.179567753573686,0.275337222146319,0.271214678193422,0.271214678193422
"17/06/2019",1,5,"5_4_2_1_3",0.025,0.084,0.0248826639071967,0.0963701429218493,0,0.276957711303282,0.056461335995304,0.19612885135211,0.126394148649137,0.126394148649137
"17/06/2019",2,4,"5_4_2_1_3",0.05,0.084,0.027020364529147,0.10464942182984,0,0.325047282370137,0.0454082350226035,0.179362528339284,0.120987719538004,0.120987719538004
"17/06/2019",3,2,"5_4_2_1_3",0.076,0.084,0.0648497348562821,0.251161943104347,0,0.79210706841077,0.123539634522781,0.406954090192689,0.293911287361387,0.293911287361387
"17/06/2019",4,1,"5_4_2_1_3",0.101,0.084,0.0270364915304636,0.104711881437364,0.0167573753211673,0.370923172783618,0.151614348143896,0.261734243111567,0.200627454374273,0.200627454374273
"17/06/2019",5,3,"5_4_2_1_3",0.126,0.084,0.118461713129706,0.458800242114551,0,1.45602950064214,0.230538004268339,0.38766785454597,0.454119423144721,0.454119423144721
"18/06/2019",16,3,"3_2_5_1_4",0.025,0.151,0.0130566696975509,0.0505682642955458,0,0.130955816797962,0,0.0718168441309475,0.0369669469789685,0.0369669469789685
"18/06/2019",17,2,"3_2_5_1_4",0.05,0.151,0.0512151989358214,0.198355612551136,0.0272873935343713,0.61696902137945,0.122213808879809,0.41299838862832,0.282028264706165,0.282028264706165
"18/06/2019",18,5,"3_2_5_1_4",0.076,0.151,0.0568652468854856,0.220238154165459,0.0260547137547624,0.742559342010724,0.198512104798188,0.460610118164547,0.324608648033538,0.324608648033538
"18/06/2019",19,1,"3_2_5_1_4",0.101,0.151,0.0268836768872153,0.104120032869006,0.0857856167943044,0.405567000023203,0.126981649491801,0.265225529537198,0.208384381562331,0.208384381562331
"18/06/2019",20,4,"3_2_5_1_4",0.126,0.151,0.0894770642298578,0.346543179629771,0.0103213823488916,1.13535205837808,0.147448319269881,0.336182167935328,0.319241994365877,0.319241994365877
"22/06/2019",11,2,"2_3_1_4_5",0.025,0.133,0.0193749264833734,0.0750387676040984,0,0.254458842883353,0.0499037746542235,0.094766763989838,0.0847524038235362,0.0847524038235362
"22/06/2019",12,3,"2_3_1_4_5",0.05,0.133,0.0242683966636444,0.0939910961174503,0,0.296172868626893,0.04035530792902,0.142120867054374,0.0988022708136581,0.0988022708136581
"22/06/2019",13,1,"2_3_1_4_5",0.076,0.133,0.0933308830414345,0.361468955706308,0.0158517159528749,1.0167743518344,0.0811456888063825,0.267969483965263,0.293616194469518,0.293616194469518
"22/06/2019",14,4,"2_3_1_4_5",0.101,0.133,0.0404381278277118,0.156616195628534,0,0.455261026703094,0.028936082205705,0.284859653713942,0.185608891748373,0.185608891748373
"22/06/2019",15,5,"2_3_1_4_5",0.126,0.133,0.047732331202093,0.184866523821363,0.040361053545424,0.603397750504089,0.121755844862029,0.339705534007319,0.233705448566355,0.233705448566355
