"Day","ID_experiment","Sequence_order","Sequence","Minute","N","P","Fish_number","Fish_biomass","total_bites_trial","Total_bites_minute","fish_eating_minute","initial_weight","control_before","control_after","final_weight","A_cons_tot","A_cons_min","C","P_biomass_kg_m2"
"17/06/2019",3,"5_4_2_1_3",2,2,0.076,0.084,50,5330,182,27,6,45.25,45.39,34.28,31.24,10.5808063450099,1.5696800621718,0.2616133436953,0.009
"17/06/2019",3,"5_4_2_1_3",2,3,0.076,0.084,50,5330,182,13,4,45.25,45.39,34.28,31.24,10.5808063450099,0.755771881786423,0.188942970446606,0.009
"17/06/2019",3,"5_4_2_1_3",2,4,0.076,0.084,50,5330,182,12,3,45.25,45.39,34.28,31.24,10.5808063450099,0.697635583187467,0.232545194395822,0.009
"17/06/2019",3,"5_4_2_1_3",2,5,0.076,0.084,50,5330,182,8,1,45.25,45.39,34.28,31.24,10.5808063450099,0.465090388791645,0.465090388791645,0.009
"17/06/2019",3,"5_4_2_1_3",2,6,0.076,0.084,50,5330,182,29,2,45.25,45.39,34.28,31.24,10.5808063450099,1.68595265936971,0.842976329684856,0.009
"17/06/2019",3,"5_4_2_1_3",2,7,0.076,0.084,50,5330,182,12,2,45.25,45.39,34.28,31.24,10.5808063450099,0.697635583187467,0.348817791593733,0.009
"17/06/2019",3,"5_4_2_1_3",2,8,0.076,0.084,50,5330,182,0,0,45.25,45.39,34.28,31.24,10.5808063450099,0,0,0.009
"17/06/2019",3,"5_4_2_1_3",2,9,0.076,0.084,50,5330,182,17,4,45.25,45.39,34.28,31.24,10.5808063450099,0.988317076182245,0.247079269045561,0.009
"17/06/2019",3,"5_4_2_1_3",2,10,0.076,0.084,50,5330,182,14,3,45.25,45.39,34.28,31.24,10.5808063450099,0.813908180385378,0.271302726795126,0.009
"17/06/2019",3,"5_4_2_1_3",2,11,0.076,0.084,50,5330,182,0,0,45.25,45.39,34.28,31.24,10.5808063450099,0,0,0.009
"17/06/2019",3,"5_4_2_1_3",2,12,0.076,0.084,50,5330,182,12,1,45.25,45.39,34.28,31.24,10.5808063450099,0.697635583187467,0.697635583187467,0.009
"17/06/2019",3,"5_4_2_1_3",2,13,0.076,0.084,50,5330,182,1,1,45.25,45.39,34.28,31.24,10.5808063450099,0.058136298598956,0.058136298598956,0.009
"17/06/2019",3,"5_4_2_1_3",2,14,0.076,0.084,50,5330,182,0,0,45.25,45.39,34.28,31.24,10.5808063450099,0,0,0.009
"17/06/2019",3,"5_4_2_1_3",2,15,0.076,0.084,50,5330,182,9,1,45.25,45.39,34.28,31.24,10.5808063450099,0.5232266873906,0.5232266873906,0.009
"17/06/2019",4,"5_4_2_1_3",1,1,0.101,0.084,50,5330,353,131,18,60.11,60.2,37.16,32.73,16.9010099667774,6.27204619163694,0.348447010646497,0.009
